tract2010,CASTHMA
25025000100,10.8
25025000201,10.2
25025000202,10.5
25025000301,10.1
25025000302,10
25025000401,10.2
25025000402,10
25025000502,11.2
25025000503,10
25025000504,10.7
25025000601,10
25025000602,11.3
25025000701,10.2
25025000703,10.8
25025000704,10
25025000802,10.5
25025000803,11.7
25025010103,12
25025010104,10.4
25025010203,10.9
25025010204,11.4
25025010300,13.2
25025010403,10.2
25025010404,12.6
25025010405,12.8
25025010408,9.5
25025010500,10.5
25025010600,9.1
25025010701,9.3
25025010702,9.7
25025010801,9.4
25025010802,9.1
25025020101,9.2
25025020200,10.1
25025020301,9.1
25025020302,9.7
25025020303,9.5
25025030100,9.6
25025030200,10.3
25025030300,9.9
25025030400,10.2
25025030500,9.5
25025040100,9.6
25025040200,12.2
25025040300,10.3
25025040401,10.8
25025040600,9.5
25025040801,11.2
25025050101,11.6
25025050200,11.3
25025050300,13.2
25025050400,10.8
25025050500,11.3
25025050600,11
25025050700,11.3
25025050901,11.1
25025051000,11
25025051101,11.3
25025051200,10.3
25025060101,10
25025060200,10.5
25025060301,10.2
25025060400,10
25025060501,9.7
25025060600,9.2
25025060700,14.7
25025060800,10
25025061000,12.2
25025061101,14.6
25025061200,9.1
25025070101,9.7
25025070200,11.3
25025070300,9.4
25025070402,10
25025070500,10.1
25025070600,8.7
25025070700,10.2
25025070800,10.4
25025070900,11.3
25025071101,10.2
25025071201,11.5
25025080100,12.6
25025080300,13.8
25025080401,13.3
25025080500,13.8
25025080601,14.1
25025080801,12.9
25025080900,10.8
25025081001,12.3
25025081100,11
25025081200,12.7
25025081300,13.9
25025081400,12.3
25025081500,13
25025081700,15.1
25025081800,14.2
25025081900,14.6
25025082000,14
25025082100,15.2
25025090100,15.2
25025090200,14.6
25025090300,14.1
25025090400,14.3
25025090600,15
25025090700,10.9
25025090901,11.5
25025091001,10.5
25025091100,10.5
25025091200,12.2
25025091300,14.6
25025091400,13.9
25025091500,13.8
25025091600,12.9
25025091700,14.7
25025091800,14
25025091900,14
25025092000,13.6
25025092101,11.9
25025092200,11.6
25025092300,14.6
25025092400,15
25025100100,14.3
25025100200,14.7
25025100300,14
25025100400,13.3
25025100500,13.5
25025100601,11.3
25025100603,10.1
25025100700,10.6
25025100800,10.5
25025100900,12.4
25025101001,14.6
25025101002,14.2
25025101101,14.4
25025101102,15
25025110103,10.9
25025110201,12.3
25025110301,11
25025110401,11.2
25025110403,11.2
25025110501,10.4
25025110502,10.6
25025110601,9.6
25025110607,9.9
25025120103,9.4
25025120104,10.2
25025120105,9.7
25025120201,10.9
25025120301,10.2
25025120400,9.9
25025120500,10.4
25025120600,9.9
25025120700,9.6
25025130100,9.6
25025130200,9.9
25025130300,9.8
25025130402,10.2
25025130404,10.3
25025130406,11.9
25025140102,11.3
25025140105,11.3
25025140106,12.7
25025140107,11.3
25025140201,11.1
25025140202,11.6
25025140300,12.4
25025140400,12.9
25025980101,12.8
25025980300,14.1
25025981100,11.5
25025981202,7.7
25025981300,9.1
25025981800,9.4
